Timestamp,Which of the following social media platforms do you use? (Pick all that apply),Which one of the following social media platforms do you use the most?,When do you most often use social media?,Why do you mostly use social media at the time of day chosen above?,Where do you most often use social media?,Why do you most often use social media at the location selected above?,"Of the following, which is the biggest reason why you use social media? ",What is your age group?,What is your gender?,Are you currently employed?
1/23/2024 12:09:55,"Instagram, Twitter / X, Snapchat",Instagram,Night,Availability (No other responsibilities at that time),Home,More time for social media at location,Entertainment,21-25,Male,Yes
1/23/2024 12:22:04,"Instagram, Facebook, TikTok, Snapchat",Snapchat,Night,Availability (No other responsibilities at that time),Home,More time for social media at location,Entertainment,16-20,Male,No
1/23/2024 12:22:19,"Instagram, Twitter / X, Facebook, TikTok, Snapchat",Snapchat,Night,Availability (No other responsibilities at that time),Home,More time for social media at location,Keeping up with family & friends,21-25,Female,Yes
1/23/2024 12:23:51,"Instagram, TikTok, Snapchat",TikTok,Night,Availability (No other responsibilities at that time),Home,More time for social media at location,Entertainment,21-25,Male,Yes
1/23/2024 12:24:45,"Instagram, TikTok, Snapchat",Instagram,Evening,Availability (No other responsibilities at that time),Home,More time for social media at location,Keeping up with family & friends,16-20,Female,Yes
1/23/2024 12:25:41,"Instagram, Twitter / X, Facebook, TikTok, Snapchat",Instagram,Evening,Availability (No other responsibilities at that time),Home,More time for social media at location,Keeping up with family & friends,21-25,Male,Yes
1/23/2024 12:31:12,"Instagram, Twitter / X, Facebook, TikTok, Snapchat",TikTok,Night,Availability (No other responsibilities at that time),Home,More time for social media at location,Keeping up with family & friends,46-50,Female,Yes
1/23/2024 14:23:38,"Facebook, TikTok",TikTok,Afternoon,"Complimenting with another action during that time (Eating, Mundane Tasks, Work days, etc.)",Home,More time for social media at location,Entertainment,50+,Female,Yes
1/23/2024 15:58:17,"Facebook, TikTok",Facebook,Night,Availability (No other responsibilities at that time),Home,More time for social media at location,Keeping up with family & friends,26-30,Male,Yes
1/23/2024 16:07:04,"Facebook, TikTok",Facebook,Evening,Availability (No other responsibilities at that time),Home,More time for social media at location,Entertainment,50+,Male,Yes
1/24/2024 12:49:05,"Instagram, Facebook, TikTok, Snapchat",Instagram,Night,Availability (No other responsibilities at that time),Home,More time for social media at location,Keeping up with family & friends,31-35,Male,Yes